,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-07-24 03:00:59.999,1690156800000,0.25600000,0.25620000,0.25600000,0.25620000,45201.00000000,1690156859999,11574.39400000,34,33211.00000000,8504.55500000,0
2023-07-24 03:01:59.999,1690156860000,0.25600000,0.25620000,0.25600000,0.25610000,29447.00000000,1690156919999,7539.89410000,23,6009.00000000,1539.02820000,0
2023-07-24 03:02:59.999,1690156920000,0.25600000,0.25600000,0.25540000,0.25540000,57397.00000000,1690156979999,14676.46000000,52,2987.00000000,763.63640000,0
2023-07-24 03:03:59.999,1690156980000,0.25530000,0.25550000,0.25500000,0.25550000,158081.00000000,1690157039999,40364.87640000,98,31709.00000000,8096.39270000,0
2023-07-24 03:04:59.999,1690157040000,0.25540000,0.25580000,0.25540000,0.25580000,44771.00000000,1690157099999,11447.68130000,41,35744.00000000,9139.68790000,0
2023-07-24 03:05:59.999,1690157100000,0.25580000,0.25590000,0.25580000,0.25590000,245.00000000,1690157159999,62.68090000,5,99.00000000,25.33410000,0
2023-07-24 03:06:59.999,1690157160000,0.25590000,0.25590000,0.25580000,0.25580000,4691.00000000,1690157219999,1200.42070000,15,3294.00000000,842.93460000,0
2023-07-24 03:07:59.999,1690157220000,0.25590000,0.25590000,0.25580000,0.25580000,4704.00000000,1690157279999,1203.34920000,6,660.00000000,168.89400000,0
2023-07-24 03:08:59.999,1690157280000,0.25590000,0.25590000,0.25590000,0.25590000,10700.00000000,1690157339999,2738.13000000,10,9935.00000000,2542.36650000,0
2023-07-24 03:09:59.999,1690157340000,0.25590000,0.25600000,0.25590000,0.25600000,5036.00000000,1690157399999,1288.88560000,13,1732.00000000,443.39200000,0
2023-07-24 03:10:59.999,1690157400000,0.25610000,0.25640000,0.25610000,0.25640000,28178.00000000,1690157459999,7218.74000000,32,26450.00000000,6775.85360000,0
2023-07-24 03:11:59.999,1690157460000,0.25630000,0.25630000,0.25620000,0.25630000,3487.00000000,1690157519999,893.53630000,6,223.00000000,57.15490000,0
2023-07-24 03:12:59.999,1690157520000,0.25630000,0.25660000,0.25630000,0.25660000,38400.00000000,1690157579999,9849.14850000,29,38376.00000000,9842.99250000,0
2023-07-24 03:13:59.999,1690157580000,0.25660000,0.25660000,0.25650000,0.25650000,663.00000000,1690157639999,170.12110000,5,616.00000000,158.06560000,0
2023-07-24 03:14:59.999,1690157640000,0.25650000,0.25670000,0.25650000,0.25670000,2856.00000000,1690157699999,732.88810000,15,878.00000000,225.33680000,0
2023-07-24 03:15:59.999,1690157700000,0.25660000,0.25680000,0.25660000,0.25680000,37548.00000000,1690157759999,9640.51550000,37,26118.00000000,6706.04750000,0
2023-07-24 03:16:59.999,1690157760000,0.25680000,0.25710000,0.25680000,0.25690000,47037.00000000,1690157819999,12086.03040000,37,19642.00000000,5045.55730000,0
2023-07-24 03:17:59.999,1690157820000,0.25690000,0.25690000,0.25660000,0.25670000,4218.00000000,1690157879999,1083.07200000,10,507.00000000,130.18620000,0
2023-07-24 03:18:59.999,1690157880000,0.25650000,0.25650000,0.25640000,0.25640000,534.00000000,1690157939999,136.95240000,4,186.00000000,47.69040000,0
2023-07-24 03:19:59.999,1690157940000,0.25640000,0.25660000,0.25640000,0.25660000,16409.00000000,1690157999999,4209.30600000,14,12164.00000000,3120.11720000,0
2023-07-24 03:20:59.999,1690158000000,0.25670000,0.25680000,0.25670000,0.25680000,23435.00000000,1690158059999,6017.78640000,17,10978.00000000,2818.82880000,0
2023-07-24 03:21:59.999,1690158060000,0.25680000,0.25680000,0.25680000,0.25680000,2324.00000000,1690158119999,596.80320000,5,2186.00000000,561.36480000,0
2023-07-24 03:22:59.999,1690158120000,0.25670000,0.25670000,0.25660000,0.25660000,1596.00000000,1690158179999,409.55580000,4,0.00000000,0.00000000,0
2023-07-24 03:23:59.999,1690158180000,0.25660000,0.25660000,0.25640000,0.25640000,53036.00000000,1690158239999,13601.75190000,25,4739.00000000,1216.02740000,0
2023-07-24 03:24:59.999,1690158240000,0.25640000,0.25660000,0.25640000,0.25660000,21613.00000000,1690158299999,5543.85770000,12,21613.00000000,5543.85770000,0
2023-07-24 03:25:59.999,1690158300000,0.25660000,0.25660000,0.25660000,0.25660000,3897.00000000,1690158359999,999.97020000,2,0.00000000,0.00000000,0
2023-07-24 03:26:59.999,1690158360000,0.25650000,0.25650000,0.25650000,0.25650000,194.00000000,1690158419999,49.76100000,2,0.00000000,0.00000000,0
2023-07-24 03:27:59.999,1690158420000,0.25650000,0.25660000,0.25650000,0.25650000,5426.00000000,1690158479999,1391.85850000,6,895.00000000,229.65700000,0
2023-07-24 03:28:59.999,1690158480000,0.25650000,0.25650000,0.25650000,0.25650000,0.00000000,1690158539999,0.00000000,0,0.00000000,0.00000000,0
2023-07-24 03:29:59.999,1690158540000,0.25640000,0.25640000,0.25640000,0.25640000,50.00000000,1690158599999,12.82000000,1,0.00000000,0.00000000,0
2023-07-24 03:30:59.999,1690158600000,0.25640000,0.25640000,0.25640000,0.25640000,6368.00000000,1690158659999,1632.75520000,5,4371.00000000,1120.72440000,0
2023-07-24 03:31:59.999,1690158660000,0.25640000,0.25640000,0.25640000,0.25640000,5875.00000000,1690158719999,1506.35000000,7,5875.00000000,1506.35000000,0
2023-07-24 03:32:59.999,1690158720000,0.25640000,0.25640000,0.25610000,0.25610000,27499.00000000,1690158779999,7048.20060000,19,6421.00000000,1644.43010000,0
2023-07-24 03:33:59.999,1690158780000,0.25610000,0.25610000,0.25610000,0.25610000,0.00000000,1690158839999,0.00000000,0,0.00000000,0.00000000,0
2023-07-24 03:34:59.999,1690158840000,0.25600000,0.25600000,0.25600000,0.25600000,20991.00000000,1690158899999,5373.69600000,13,113.00000000,28.92800000,0
2023-07-24 03:35:59.999,1690158900000,0.25590000,0.25600000,0.25590000,0.25600000,22612.00000000,1690158959999,5787.80300000,19,21612.00000000,5531.80300000,0
2023-07-24 03:36:59.999,1690158960000,0.25590000,0.25610000,0.25590000,0.25610000,14103.00000000,1690159019999,3610.65830000,16,14067.00000000,3601.44590000,0
2023-07-24 03:37:59.999,1690159020000,0.25620000,0.25670000,0.25620000,0.25670000,65057.00000000,1690159079999,16688.70740000,37,56757.00000000,14558.09740000,0
2023-07-24 03:38:59.999,1690159080000,0.25670000,0.25680000,0.25660000,0.25660000,21419.00000000,1690159139999,5497.96520000,18,79.00000000,20.28720000,0
2023-07-24 03:39:59.999,1690159140000,0.25670000,0.25690000,0.25670000,0.25690000,39278.00000000,1690159199999,10087.00290000,25,29524.00000000,7581.20030000,0
2023-07-24 03:40:59.999,1690159200000,0.25690000,0.25710000,0.25690000,0.25710000,38024.00000000,1690159259999,9772.14780000,23,37981.00000000,9761.09250000,0
